date,advbw,bwhist
2010-07-14,4.749790,3.064288
2010-07-15,4.800585,3.168129
2010-07-16,4.781782,3.185916
2010-07-17,4.824764,3.171017
2010-07-18,4.843531,3.206151
2010-07-19,4.803751,3.281082
2010-07-20,4.975702,3.285746
2010-07-21,5.035186,3.310568
2010-07-22,5.084643,3.339461
2010-07-23,5.126788,3.300984
2010-07-24,5.153082,3.246014
2010-07-25,5.132405,3.225157
2010-07-26,4.892811,3.155540
2010-07-27,4.731724,3.015324
2010-07-28,5.004600,3.254097
2010-07-29,5.040991,3.336219
2010-07-30,5.081955,3.410802
2010-07-31,5.300218,3.445024
2010-08-01,5.364176,3.449138
2010-08-02,5.558639,3.506211
2010-08-03,5.565995,3.412540
2010-08-04,5.377024,3.388787
2010-08-05,5.446957,3.414438
2010-08-06,5.434671,3.498218
2010-08-07,5.677811,3.573881
2010-08-08,5.789024,3.562785
2010-08-09,5.797897,3.597848
2010-08-10,5.814433,3.520234
2010-08-11,5.962337,3.501683
2010-08-12,5.897189,3.595499
2010-08-13,5.784856,3.620104
2010-08-14,6.011876,3.702984
2010-08-15,6.031000,3.759832
2010-08-16,5.940490,3.576173
2010-08-17,5.818523,3.621351
2010-08-18,5.910317,3.595183
2010-08-19,5.640820,3.659241
2010-08-20,5.920832,3.778951
2010-08-21,5.987469,3.744778
2010-08-22,6.020713,3.763197
2010-08-23,6.098042,3.928064
2010-08-24,6.103338,3.750916
2010-08-25,5.851723,3.789686
2010-08-26,6.015548,3.827195
2010-08-27,6.550509,4.012604
2010-08-28,6.855222,4.063438
2010-08-29,6.761145,4.035184
2010-08-30,7.131197,4.060099
2010-08-31,7.281168,4.144126
2010-09-01,7.484141,4.126998
2010-09-02,6.921783,3.998661
2010-09-03,7.215797,4.124564
2010-09-04,7.722350,4.379046
2010-09-05,8.004661,4.310347
2010-09-06,7.792078,4.293751
2010-09-07,7.983494,4.179297
2010-09-08,7.520322,4.121929
2010-09-09,7.102783,3.980545
2010-09-10,6.718239,3.900016
2010-09-11,7.465062,4.120285
2010-09-12,7.491383,4.140154
2010-09-13,7.552399,4.222779
2010-09-14,7.693987,4.248222
2010-09-15,7.526819,4.055117
2010-09-16,7.077356,3.754506
2010-09-17,7.149101,4.166982
2010-09-18,7.954737,4.358880
2010-09-19,7.777290,4.322929
2010-09-20,7.676950,4.254252
2010-09-21,7.597808,4.081313
2010-09-22,7.128538,4.117685
2010-09-23,7.265787,4.106064
2010-09-24,6.898987,4.067758
2010-09-25,6.808376,4.180536
2010-09-26,7.181520,4.154087
2010-09-27,7.436488,4.132496
2010-09-28,7.365053,4.299426
2010-09-29,7.785567,4.288212
2010-09-30,7.950639,4.135038
2010-10-01,7.211577,4.156610
2010-10-02,7.380774,4.265745
2010-10-03,7.488934,4.186889
2010-10-04,7.412207,4.239187
2010-10-05,7.554323,4.300681
2010-10-06,7.386691,4.369072
2010-10-07,7.655606,4.431329
2010-10-08,7.563871,4.387115
2010-10-09,7.653532,4.425924
2010-10-10,7.697047,4.278463
2010-10-11,7.422032,4.358775
2010-10-12,7.545328,4.270299
2010-10-13,7.395995,4.271193
2010-10-14,7.437038,4.367943
2010-10-15,7.328969,4.308598
2010-10-16,7.390505,4.427907
2010-10-17,7.525726,4.297085
2010-10-18,7.352424,4.388150
2010-10-19,7.719265,4.388709
2010-10-20,7.585538,4.486847
2010-10-21,7.534955,4.505025
2010-10-22,7.493473,4.391215
2010-10-23,7.372101,4.348693
2010-10-24,7.355597,4.334288
2010-10-25,7.142552,4.169268
2010-10-26,6.944612,4.396822
2010-10-27,6.991396,4.379273
2010-10-28,7.058272,4.459743
2010-10-29,7.180686,4.426881
2010-10-30,7.139938,4.554842
2010-10-31,7.264046,4.528732
2010-11-01,7.249619,4.467173
2010-11-02,6.719389,4.280529
2010-11-03,6.437115,4.204242
2010-11-04,6.241246,4.348887
2010-11-05,7.128404,4.466243
2010-11-06,7.035394,4.431654
2010-11-07,7.138274,4.396003
2010-11-08,6.765161,4.162456
2010-11-09,6.679681,4.070757
2010-11-10,6.633895,4.099060
2010-11-11,6.821849,4.230673
2010-11-12,6.689920,4.222052
2010-11-13,6.723464,4.493723
2010-11-14,7.035260,4.489747
2010-11-15,6.750679,4.361956
2010-11-16,6.439889,4.323252
2010-11-17,6.289381,4.344381
2010-11-18,6.094210,4.246594
2010-11-19,6.779143,4.346868
2010-11-20,6.753874,4.540268
2010-11-21,6.837225,4.516770
2010-11-22,6.588461,4.331684
2010-11-23,5.988680,4.231206
2010-11-24,5.999473,4.206648
2010-11-25,5.955005,4.219529
2010-11-26,5.925967,4.190377
2010-11-27,5.894206,4.280976
2010-11-28,6.060631,4.240711
2010-11-29,5.901406,4.066569
2010-11-30,5.787952,4.166435
2010-12-01,5.907388,4.263147
2010-12-02,6.096727,4.408711
2010-12-03,6.078026,4.322717
2010-12-04,5.940983,4.291558
2010-12-05,6.123085,4.421737
2010-12-06,6.264230,4.386507
2010-12-07,6.195222,4.223084
2010-12-08,6.143027,4.133469
2010-12-09,6.091304,4.365324
2010-12-10,6.234532,4.423585
2010-12-11,6.370599,4.545902
2010-12-12,6.495907,4.531324
2010-12-13,6.380851,4.431490
2010-12-14,6.494427,4.508856
2010-12-15,6.764087,4.485608
2010-12-16,6.863273,4.557833
2010-12-17,7.210536,4.730353
2010-12-18,7.274680,4.777610
2010-12-19,7.626873,4.856000
2010-12-20,7.219130,4.588763
2010-12-21,6.685828,4.530149
2010-12-22,6.951022,4.567407
2010-12-23,7.052276,4.766826
2010-12-24,7.692445,5.084339
2010-12-25,8.047917,5.016776
2010-12-26,7.988359,5.008357
2010-12-27,7.867809,5.025242
2010-12-28,7.943326,5.125774
2010-12-29,7.888282,5.125552
2010-12-30,7.773063,5.178480
2010-12-31,7.800088,5.142986
2011-01-01,7.904019,5.183832
2011-01-02,7.803085,5.159598
2011-01-03,7.585936,5.164646
2011-01-04,7.666850,5.255262
2011-01-05,7.829184,5.348489
2011-01-06,7.936838,5.495887
2011-01-07,7.812821,5.243929
2011-01-08,7.797218,5.327613
2011-01-09,8.072916,5.145287
2011-01-10,7.681404,5.143503
2011-01-11,7.970071,5.272168
2011-01-12,7.857939,4.868339
2011-01-13,7.521415,4.759521
2011-01-14,7.073771,4.452377
2011-01-15,6.782132,4.730633
2011-01-16,6.359911,4.283717
2011-01-17,6.758312,4.516598
2011-01-18,7.286098,4.703103
2011-01-19,7.365849,5.049582
2011-01-20,7.269051,4.866726
2011-01-21,7.277991,5.097180
2011-01-22,7.669931,5.178652
2011-01-23,7.650853,5.032121
2011-01-24,7.501948,4.965479
2011-01-25,7.582274,5.083752
2011-01-26,7.590312,5.019125
2011-01-27,7.684939,4.901417
2011-01-28,7.594372,4.924837
2011-01-29,7.994063,5.160329
2011-01-30,8.186945,5.113243
2011-01-31,7.946470,5.073341
2011-02-01,8.188558,5.238667
2011-02-02,8.495358,5.339006
2011-02-03,8.777842,5.560407
2011-02-04,9.231698,5.683253
2011-02-05,9.181206,5.698829
2011-02-06,9.111010,5.720883
2011-02-07,8.992392,5.735433
2011-02-08,8.863659,5.711876
2011-02-09,8.951681,5.790926
2011-02-10,8.963307,5.758232
2011-02-11,8.903110,5.694803
2011-02-12,8.579786,5.662957
2011-02-13,8.665834,5.631500
2011-02-14,8.471321,5.651735
2011-02-15,8.668032,5.810078
2011-02-16,8.978941,5.908759
2011-02-17,9.207066,6.024907
2011-02-18,9.331406,6.083736
2011-02-19,9.493936,6.285159
2011-02-20,9.713713,6.237863
2011-02-21,9.592097,6.149861
2011-02-22,9.599295,6.136839
2011-02-23,9.866066,6.263589
2011-02-24,9.883511,6.277307
2011-02-25,9.747779,6.202826
2011-02-26,9.984479,6.215247
2011-02-27,9.828223,5.988321
2011-02-28,9.726005,6.112107
2011-03-01,9.779730,6.163643
2011-03-02,10.069386,6.447415
2011-03-03,10.339607,6.514750
2011-03-04,10.352853,6.594876
2011-03-05,10.380717,6.285812
2011-03-06,,5.917947
2011-03-07,9.061461,6.292821
2011-03-08,10.453953,6.613610
2011-03-09,11.015056,6.685073
2011-03-10,13.068415,6.882007
2011-03-11,10.877961,6.906276
2011-03-12,11.125128,6.910579
2011-03-13,11.121854,6.982016
2011-03-14,11.725629,6.809631
2011-03-15,18.172833,6.706167
2011-03-16,10.846405,6.758256
2011-03-17,11.264634,6.690675
2011-03-18,12.212584,6.772736
2011-03-19,11.118616,6.851026
2011-03-20,10.959186,6.835860
2011-03-21,10.975522,6.930611
2011-03-22,12.586295,6.895665
2011-03-23,12.673531,7.006631
2011-03-24,11.527300,7.098371
2011-03-25,11.155143,7.075148
2011-03-26,11.479415,7.256575
2011-03-27,11.409217,7.280001
2011-03-28,11.462296,7.150157
2011-03-29,11.264003,7.163482
2011-03-30,11.314829,7.314705
2011-03-31,13.802997,7.318422
2011-04-01,12.478269,7.207709
2011-04-02,11.950340,7.146390
2011-04-03,11.945679,7.220431
2011-04-04,13.198947,7.017005
2011-04-05,11.487310,7.173472
2011-04-06,11.755583,7.209145
2011-04-07,11.843031,7.312385
2011-04-08,12.281141,7.477193
2011-04-09,12.545041,7.610367
2011-04-10,12.572259,7.494273
2011-04-11,12.982401,7.406645
2011-04-12,14.732960,7.297244
2011-04-13,13.618188,7.359420
2011-04-14,14.166004,7.381933
2011-04-15,14.646161,7.325116
2011-04-16,14.403254,7.455580
2011-04-17,12.748663,7.470000
2011-04-18,13.014876,7.496827
2011-04-19,13.571679,7.392520
2011-04-20,12.859072,7.243391
2011-04-21,11.974222,7.201035
2011-04-22,11.876754,6.995300
2011-04-23,11.606346,6.940489
2011-04-24,11.567002,7.179305
2011-04-25,11.717794,7.330437
2011-04-26,11.921180,7.299092
2011-04-27,11.766509,7.167958
2011-04-28,12.359683,7.211330
2011-04-29,12.332226,7.047409
2011-04-30,11.604265,6.945498
2011-05-01,11.539546,7.067546
2011-05-02,13.394903,7.180645
2011-05-03,17.056739,7.251203
2011-05-04,12.283752,7.522821
2011-05-05,11.875949,7.514924
2011-05-06,11.856530,7.500730
2011-05-07,11.904685,7.468762
2011-05-08,11.697082,7.329531
2011-05-09,11.778769,7.391881
2011-05-10,11.829441,7.385328
2011-05-11,11.738165,7.517923
2011-05-12,12.008866,7.482421
2011-05-13,11.993906,7.528664
2011-05-14,11.739337,7.516334
2011-05-15,11.815031,7.447237
2011-05-16,11.559868,7.496632
2011-05-17,12.225329,7.537314
2011-05-18,14.591678,7.430390
2011-05-19,12.037823,7.111667
2011-05-20,11.552635,7.509068
2011-05-21,11.748207,7.583968
2011-05-22,11.530099,7.581480
2011-05-23,11.792776,7.653169
2011-05-24,11.851677,7.721394
2011-05-25,11.617364,7.701207
2011-05-26,11.658806,7.656411
2011-05-27,11.669295,7.673274
2011-05-28,11.600441,7.572140
2011-05-29,11.120730,7.447862
2011-05-30,11.088295,7.564215
2011-05-31,11.120412,7.416156
2011-06-01,11.138277,7.574339
2011-06-02,11.716341,7.710819
2011-06-03,12.115650,7.819018
2011-06-04,12.390919,7.725409
2011-06-05,12.258368,7.696439
2011-06-06,12.325578,7.623614
2011-06-07,12.199827,7.505024
2011-06-08,12.342458,7.809605
2011-06-09,12.689862,7.884782
2011-06-10,12.548133,7.884974
2011-06-11,12.622191,7.955621
2011-06-12,12.690989,7.825411
2011-06-13,12.507125,7.917268
2011-06-14,12.458436,7.840597
