#
# The Tor Project
#
# URL: https://metrics.torproject.org/platforms.csv?start=2010-01-01&end=2020-01-11
#
date,bsd,linux,macos,other,windows
2018-01-29,288,5627,8,4,110
2018-01-30,285,5629,9,4,107
2018-01-31,287,5599,10,4,104
2018-02-01,286,5736,8,4,107
2018-02-02,288,5755,9,4,113
2018-02-03,285,5798,9,4,111
2018-02-04,286,5824,9,4,111
2018-02-05,283,5800,10,5,106
2018-02-06,291,5833,10,4,108
2018-02-07,289,5819,9,4,104
2018-02-08,292,5813,10,4,106
2018-02-09,291,5789,8,4,111
2018-02-10,292,5748,9,4,120
2018-02-11,290,5749,9,5,118
2018-02-12,289,5684,9,5,117
2018-02-13,283,5671,8,4,110
2018-02-14,288,5656,9,4,108
2018-02-15,291,5650,9,4,102
2018-02-16,291,5640,10,4,102
2018-02-17,289,5629,8,5,109
2018-02-18,294,5650,9,5,110
2018-02-19,296,5629,12,4,103
2018-02-20,295,5626,13,5,102
2018-02-21,296,5649,14,4,103
2018-02-22,306,5613,12,5,104
2018-02-23,309,5620,12,5,107
2018-02-24,311,5607,11,5,103
2018-02-25,310,5608,11,5,104
2018-02-26,313,5591,9,5,97
2018-02-27,312,5551,9,5,97
2018-02-28,301,5481,9,4,95
2018-03-01,303,5581,10,4,95
2018-03-02,313,5670,10,4,94
2018-03-03,303,5669,11,5,99
2018-03-04,305,5669,10,5,102
2018-03-05,309,5662,8,4,97
2018-03-06,318,5669,8,5,97
2018-03-07,320,5688,9,5,98
2018-03-08,322,5693,9,5,102
2018-03-09,325,5729,8,5,102
2018-03-10,328,5768,8,5,105
2018-03-11,328,5785,11,5,109
2018-03-12,324,5761,10,4,98
2018-03-13,323,5769,9,4,94
2018-03-14,327,5786,9,4,96
2018-03-15,325,5781,11,4,99
2018-03-16,323,5760,12,4,103
2018-03-17,320,5785,13,5,109
2018-03-18,323,5806,12,5,109
2018-03-19,324,5780,12,5,97
2018-03-20,326,5793,11,4,96
2018-03-21,328,5808,10,4,96
2018-03-22,330,5806,10,4,95
2018-03-23,329,5792,10,4,97
2018-03-24,326,5799,9,4,103
2018-03-25,328,5795,9,4,109
2018-03-26,328,5776,10,4,99
2018-03-27,327,5828,10,4,101
2018-03-28,329,5841,10,4,105
2018-03-29,331,5802,10,5,106
2018-03-30,324,5818,10,5,108
2018-03-31,323,5820,11,5,112
2018-04-01,330,5940,11,4,113
2018-04-02,328,5971,11,4,108
2018-04-03,337,5972,11,4,103
2018-04-04,343,5974,11,3,98
2018-04-05,341,5990,11,3,102
2018-04-06,341,6004,12,3,100
2018-04-07,347,6004,11,3,104
2018-04-08,343,5982,11,3,100
2018-04-09,335,5936,11,3,100
2018-04-10,339,5953,12,3,95
2018-04-11,334,5944,12,3,92
2018-04-12,340,5936,12,3,94
2018-04-13,344,5935,13,3,97
2018-04-14,350,5937,15,3,102
2018-04-15,351,5947,14,3,102
2018-04-16,352,5935,14,3,98
2018-04-17,354,5946,15,3,99
2018-04-18,355,5945,15,3,100
2018-04-19,351,5956,14,3,100
2018-04-20,350,5957,15,3,101
2018-04-21,350,5946,16,3,106
2018-04-22,346,5959,15,3,101
2018-04-23,345,5954,15,3,98
2018-04-24,344,5961,14,3,100
2018-04-25,343,5963,16,3,99
2018-04-26,340,5967,15,3,102
2018-04-27,338,5973,15,3,101
2018-04-28,339,5942,16,3,99
2018-04-29,341,5950,15,3,104
2018-04-30,337,5938,15,3,107
2018-05-01,338,6019,13,3,104
2018-05-02,341,6006,14,3,98
2018-05-03,342,5974,16,3,98
2018-05-04,343,5976,16,3,99
2018-05-05,344,6002,15,3,103
2018-05-06,351,5992,15,3,100
2018-05-07,348,5948,15,3,91
2018-05-08,349,5959,16,3,98
2018-05-09,347,5996,16,3,95
2018-05-10,343,6004,16,3,97
2018-05-11,347,5992,15,3,98
2018-05-12,347,6005,16,3,94
2018-05-13,350,6044,16,3,97
2018-05-14,344,6024,16,3,90
2018-05-15,341,6013,17,3,96
2018-05-16,339,6008,18,4,91
2018-05-17,340,5996,18,4,90
2018-05-18,339,5985,17,4,98
2018-05-19,338,6008,17,4,96
2018-05-20,339,6039,16,5,97
2018-05-21,336,6017,15,4,92
2018-05-22,335,6003,16,4,90
2018-05-23,333,5993,16,5,91
2018-05-24,335,5969,15,5,92
2018-05-25,335,5938,16,5,91
2018-05-26,334,5931,17,5,94
2018-05-27,339,5930,17,5,95
2018-05-28,341,5910,18,5,94
2018-05-29,344,5885,18,5,90
2018-05-30,341,5895,18,5,88
2018-05-31,343,5871,18,5,92
2018-06-01,344,5940,17,5,93
2018-06-02,342,5950,18,5,104
2018-06-03,342,5944,18,7,102
2018-06-04,347,5953,19,6,92
2018-06-05,344,5948,18,6,91
2018-06-06,344,5941,18,6,97
2018-06-07,347,5936,18,5,93
2018-06-08,348,5913,18,5,94
2018-06-09,346,5906,19,7,101
2018-06-10,345,5897,20,6,101
2018-06-11,348,5891,20,6,95
2018-06-12,348,5866,19,6,94
2018-06-13,349,5863,19,6,95
2018-06-14,349,5866,17,5,99
2018-06-15,350,5880,17,6,93
2018-06-16,354,5868,16,6,101
2018-06-17,352,5870,16,6,103
2018-06-18,352,5878,17,6,98
2018-06-19,356,5873,18,6,102
2018-06-20,351,5864,19,5,97
2018-06-21,349,5848,19,5,94
2018-06-22,351,5871,19,6,103
2018-06-23,349,5862,18,6,105
2018-06-24,351,5875,18,6,103
2018-06-25,350,5879,17,6,91
2018-06-26,356,5861,17,6,93
2018-06-27,356,5887,16,6,88
2018-06-28,359,5877,16,6,91
2018-06-29,356,5864,17,6,89
2018-06-30,358,5861,18,6,93
2018-07-01,368,5969,16,6,95
2018-07-02,371,6009,15,6,89
2018-07-03,376,6005,15,6,86
2018-07-04,374,6020,16,6,89
2018-07-05,374,6017,15,6,89
2018-07-06,370,6003,15,6,94
2018-07-07,371,5995,17,6,97
2018-07-08,372,5980,16,6,100
2018-07-09,371,5979,15,6,96
2018-07-10,367,5980,15,5,93
2018-07-11,371,5972,16,6,96
2018-07-12,375,5971,16,5,91
2018-07-13,374,5976,16,6,90
2018-07-14,372,5968,17,6,92
2018-07-15,371,5965,17,6,92
2018-07-16,371,5970,17,6,85
2018-07-17,373,5969,17,6,86
2018-07-18,373,5982,16,5,91
2018-07-19,370,5974,16,5,93
2018-07-20,370,5987,15,6,89
2018-07-21,369,5971,17,6,92
2018-07-22,367,5964,17,6,90
2018-07-23,366,5940,18,6,89
2018-07-24,362,5926,18,6,86
2018-07-25,355,5898,15,6,83
2018-07-26,358,5863,15,6,83
2018-07-27,367,5869,16,6,84
2018-07-28,367,5840,17,7,87
2018-07-29,362,5814,18,7,86
2018-07-30,365,5821,18,7,84
2018-07-31,371,5821,18,7,86
2018-08-01,375,5928,17,7,85
2018-08-02,376,5939,17,7,86
2018-08-03,377,5935,16,7,86
2018-08-04,379,5948,16,7,86
2018-08-06,382,5942,16,6,90
2018-08-07,384,5953,15,6,90
2018-08-08,390,5949,15,6,89
2018-08-09,390,5924,15,6,86
2018-08-10,391,5903,15,6,88
2018-08-11,388,5891,16,6,94
2018-08-12,389,5888,16,6,91
2018-08-13,382,5863,15,7,88
2018-08-14,382,5850,16,7,86
2018-08-15,389,5839,16,7,86
2018-08-16,393,5836,16,7,90
2018-08-17,395,5836,18,7,91
2018-08-18,394,5834,17,7,90
2018-08-19,396,5851,17,7,93
2018-08-20,395,5866,16,7,91
2018-08-21,393,5848,17,7,89
2018-08-22,391,5829,16,7,92
2018-08-23,391,5825,15,7,90
2018-08-24,395,5840,14,7,91
2018-08-25,396,5855,16,7,98
2018-08-26,400,5841,15,7,93
2018-08-27,397,5844,15,7,85
2018-08-28,396,5822,14,8,87
2018-08-29,393,5815,15,8,86
2018-08-30,397,5804,14,8,86
2018-08-31,396,5781,15,8,92
2018-09-01,405,5867,14,8,96
2018-09-02,402,5888,13,8,94
2018-09-03,400,5894,14,7,86
2018-09-04,402,5901,15,7,82
2018-09-05,402,5894,13,8,82
2018-09-06,395,5910,14,7,78
2018-09-07,392,5897,14,7,84
2018-09-08,392,5898,15,7,86
2018-09-09,391,5925,17,8,85
2018-09-10,393,5910,17,8,86
2018-09-11,396,5914,16,8,82
2018-09-12,391,5924,15,8,88
2018-09-13,391,5925,14,7,85
2018-09-14,389,5920,15,7,88
2018-09-15,389,5922,15,7,89
2018-09-16,388,5950,16,8,90
2018-09-17,387,5921,16,8,84
2018-09-18,394,5884,14,8,82
2018-09-19,398,5854,14,8,87
2018-09-20,396,5888,14,8,81
2018-09-21,396,5859,14,7,88
2018-09-22,400,5852,14,7,91
2018-09-23,398,5877,14,7,91
2018-09-24,390,5871,15,7,89
2018-09-25,383,5880,16,8,89
2018-09-26,380,5882,15,7,89
2018-09-27,385,5874,13,8,88
2018-09-28,389,5827,15,7,90
2018-09-29,389,5825,13,7,95
2018-09-30,387,5851,13,7,96
2018-10-01,394,5925,14,7,97
2018-10-02,393,5909,12,8,95
2018-10-03,396,5917,12,8,92
2018-10-04,404,5914,11,8,92
2018-10-05,410,5916,10,8,93
2018-10-06,409,5926,8,8,96
2018-10-07,410,5943,9,7,99
2018-10-08,409,5929,8,8,93
2018-10-09,407,5899,9,7,94
2018-10-10,406,5852,9,8,89
2018-10-11,405,5857,9,8,86
2018-10-12,402,5866,9,7,94
2018-10-13,403,5888,10,7,100
2018-10-14,402,5890,10,7,100
2018-10-15,397,5897,12,7,96
2018-10-16,397,5909,13,7,90
2018-10-17,398,5930,12,7,93
2018-10-18,400,5919,11,7,89
2018-10-19,399,5893,9,7,89
2018-10-20,397,5885,9,7,94
2018-10-21,397,5906,9,7,98
2018-10-22,398,5907,10,7,94
2018-10-23,396,5874,12,7,91
2018-10-24,400,5870,12,7,90
2018-10-25,403,5870,12,7,88
2018-10-26,396,5861,13,7,92
2018-10-27,386,5845,11,7,94
2018-10-28,384,5869,12,7,98
2018-10-29,386,5848,10,7,92
2018-10-30,391,5833,10,8,90
2018-10-31,395,5836,11,7,92
2018-11-01,401,5922,11,7,93
2018-11-02,405,5937,12,7,93
2018-11-03,403,5957,12,7,95
2018-11-04,402,5955,12,6,94
2018-11-05,408,5959,12,7,91
2018-11-06,408,5958,12,9,88
2018-11-07,407,5945,12,9,91
2018-11-08,407,5935,12,9,91
2018-11-09,407,5933,13,8,93
2018-11-10,406,5948,11,8,97
2018-11-11,399,5942,11,8,94
2018-11-12,390,5911,12,8,91
2018-11-13,389,5916,11,8,89
2018-11-14,381,5923,10,8,89
2018-11-15,387,5935,10,8,92
2018-11-16,390,5943,11,8,94
2018-11-17,393,5956,10,8,95
2018-11-18,394,5953,10,8,95
2018-11-19,394,5908,13,7,96
2018-11-20,390,5898,13,7,91
2018-11-21,391,5859,14,7,92
2018-11-22,391,5823,12,8,95
2018-11-23,388,5832,12,8,96
2018-11-24,386,5855,11,7,99
2018-11-25,391,5880,11,7,97
2018-11-26,393,5867,13,7,93
2018-11-27,385,5874,12,7,93
2018-11-28,384,5855,12,7,94
2018-11-29,382,5855,11,7,90
2018-11-30,384,5834,12,7,97
2018-12-01,388,5941,12,7,101
2018-12-02,388,5962,12,7,99
2018-12-03,385,5943,12,8,93
2018-12-04,382,5927,10,8,93
2018-12-05,386,5924,13,7,91
2018-12-06,384,5914,12,7,90
2018-12-07,380,5914,12,7,92
2018-12-08,381,5970,12,7,99
2018-12-09,381,5985,13,7,100
2018-12-10,382,5944,13,7,92
2018-12-11,383,5970,12,8,89
2018-12-12,378,5963,13,7,87
2018-12-13,380,5946,13,7,92
2018-12-14,383,5943,13,7,90
2018-12-15,379,5956,12,7,88
2018-12-16,381,5967,11,7,90
2018-12-17,381,5928,12,7,86
2018-12-18,379,5930,12,7,88
2018-12-19,379,5948,12,7,90
2018-12-20,381,5950,12,7,90
2018-12-21,386,5951,12,7,87
2018-12-22,384,5947,11,7,89
2018-12-23,386,5927,11,7,88
2018-12-24,386,5903,10,8,90
2018-12-25,385,5870,10,7,90
2018-12-26,382,5905,10,7,89
2018-12-27,379,5903,10,7,89
2018-12-28,374,5876,10,8,86
2018-12-29,377,5885,10,7,83
2018-12-30,380,5604,10,8,88
2018-12-31,378,5572,10,7,89
2019-01-01,387,5674,10,7,92
2019-01-02,390,5713,9,7,92
2019-01-03,392,5744,10,8,91
2019-01-04,395,5763,10,7,91
2019-01-05,391,5759,11,7,92
2019-01-06,393,5787,12,7,97
2019-01-07,391,5798,12,7,95
2019-01-08,390,5795,10,7,97
2019-01-09,384,5784,11,7,93
2019-01-10,380,5765,12,7,90
2019-01-11,379,6005,12,7,93
2019-01-12,377,6099,12,7,96
2019-01-15,383,6097,15,7,93
2019-01-16,379,6042,14,7,85
2019-01-17,378,6028,15,7,81
2019-01-18,380,6067,14,7,86
2019-01-19,376,6061,15,7,89
2019-01-20,379,6094,14,7,90
2019-01-21,383,6051,15,7,82
2019-01-22,386,6033,15,7,84
2019-01-23,384,6032,15,7,86
2019-01-24,383,6036,14,7,88
2019-01-25,378,6025,14,7,87
2019-01-26,379,6018,14,8,91
2019-01-27,378,6024,13,7,98
2019-01-28,382,6030,14,8,92
2019-01-29,381,6029,14,7,91
2019-01-30,379,6005,14,8,95
2019-01-31,377,6006,14,7,95
2019-02-01,382,6123,16,8,94
2019-02-02,378,6162,16,6,99
2019-02-03,381,6152,15,6,101
2019-02-04,387,6145,15,7,99
2019-02-05,391,6143,16,6,96
2019-02-08,391,6111,14,6,105
2019-02-09,385,6077,14,6,101
2019-02-10,384,6105,14,6,102
2019-02-11,382,6074,16,7,95
2019-02-12,382,6066,17,6,95
2019-02-13,380,6024,16,6,91
2019-02-14,379,6011,15,6,90
2019-02-15,381,6010,15,6,92
2019-02-16,382,5975,15,6,89
2019-02-17,384,5963,15,7,96
2019-02-18,382,5969,15,6,96
2019-02-19,381,5960,14,7,93
2019-02-20,381,5954,14,6,97
2019-02-21,382,5963,15,6,100
2019-02-22,382,5960,15,7,94
2019-02-23,384,5977,15,7,96
2019-02-24,383,5983,16,7,100
2019-02-25,379,5968,16,6,93
2019-02-26,387,5929,14,6,91
2019-02-27,385,5962,14,6,91
2019-02-28,383,5966,12,6,90
2019-03-01,384,6069,13,6,95
2019-03-02,385,6089,14,6,97
2019-03-03,388,6079,14,6,96
2019-03-04,389,6087,13,6,92
2019-03-05,391,6078,13,6,90
2019-03-06,397,6097,13,6,92
2019-03-07,398,6115,14,6,89
2019-03-08,398,6112,15,6,88
2019-03-09,396,6102,12,6,92
2019-03-10,396,6093,13,6,92
2019-03-11,399,6086,14,7,84
2019-03-12,400,6073,14,6,85
2019-03-13,401,6069,15,6,81
2019-03-14,400,6083,14,6,80
2019-03-15,397,6088,14,7,81
2019-03-16,395,6086,14,6,83
2019-03-17,401,6092,14,6,85
2019-03-18,398,6112,15,6,85
2019-03-19,397,6120,16,6,87
2019-03-20,392,6091,17,6,82
2019-03-21,394,6067,17,6,84
2019-03-22,395,6034,16,6,84
2019-03-23,389,6038,14,6,81
2019-03-24,386,6038,15,7,82
2019-03-25,384,6015,15,6,83
2019-03-26,383,6027,15,6,80
2019-03-27,385,6007,15,6,81
2019-03-28,386,5983,14,6,81
2019-03-29,383,5976,14,6,78
2019-03-30,384,6012,15,6,80
2019-03-31,383,6027,15,6,82
2019-04-01,385,6136,15,6,82
2019-04-02,380,6133,15,7,77
2019-04-03,385,6141,16,6,80
2019-04-04,385,6166,15,7,77
2019-04-05,388,6132,15,6,81
2019-04-06,402,6156,14,6,81
2019-04-07,406,6136,14,7,81
2019-04-08,418,6120,13,6,79
2019-04-09,408,6137,13,6,77
2019-04-10,411,6133,12,6,81
2019-04-11,412,6139,12,5,77
2019-04-12,411,6134,12,6,79
2019-04-13,412,6156,12,7,83
2019-04-14,409,6164,12,6,81
2019-04-15,407,6162,12,7,80
2019-04-16,403,6161,13,6,77
2019-04-17,400,6142,14,6,77
2019-04-18,399,6151,12,7,78
2019-04-19,406,6151,12,7,78
2019-04-20,407,6152,11,7,79
2019-04-21,405,6144,13,7,75
2019-04-22,404,6137,13,7,75
2019-04-23,404,6145,13,7,73
2019-04-24,403,6145,12,8,70
2019-04-25,397,6111,12,7,71
2019-04-26,396,6096,13,7,75
2019-04-27,399,6090,14,7,76
2019-04-28,395,6075,12,7,76
2019-04-29,395,6067,13,7,77
2019-04-30,400,6062,12,7,74
2019-05-01,404,6168,12,7,78
2019-05-02,406,6169,11,7,78
2019-05-03,404,6155,9,7,78
2019-05-04,406,6164,9,7,79
2019-05-05,405,6158,10,7,76
2019-05-06,404,6152,11,7,77
2019-05-07,400,6142,11,7,75
2019-05-08,399,6153,11,7,77
2019-05-09,404,6149,11,7,78
2019-05-10,405,6134,12,7,79
2019-05-11,404,6139,13,7,77
2019-05-12,404,6135,13,7,79
2019-05-13,404,6125,13,8,76
2019-05-14,410,6107,12,7,76
2019-05-15,433,6099,11,7,77
2019-05-16,431,6075,12,7,71
2019-05-17,429,6043,12,7,78
2019-05-18,432,6048,12,6,81
2019-05-19,432,6051,11,6,79
2019-05-20,432,6031,12,6,79
2019-05-22,430,6022,12,6,79
2019-05-23,425,6010,11,6,76
2019-05-24,428,5998,11,6,77
2019-05-25,423,6030,11,6,81
2019-05-26,425,6020,12,6,79
2019-05-27,428,6020,12,6,79
2019-05-28,430,6005,12,5,77
2019-05-29,432,5997,12,5,76
2019-05-30,433,5990,12,5,76
2019-06-01,445,6053,12,5,79
2019-06-02,445,6056,12,5,79
2019-06-03,447,6073,13,5,76
2019-06-04,444,6058,13,5,80
2019-06-05,444,6054,12,5,78
2019-06-06,446,6041,12,5,79
2019-06-07,453,6037,13,5,80
2019-06-08,452,6038,12,5,82
2019-06-09,457,6047,12,5,79
2019-06-10,454,6045,13,5,81
2019-06-11,441,6022,11,5,84
2019-06-12,447,5998,10,5,79
2019-06-13,442,5988,11,6,86
2019-06-14,457,5963,12,6,83
2019-06-15,455,5975,11,5,86
2019-06-16,455,5976,13,5,85
2019-06-17,456,5969,12,6,84
2019-06-18,448,5937,13,6,78
2019-06-19,453,5916,14,6,79
2019-06-20,452,5924,12,6,81
2019-06-21,456,5914,12,6,79
2019-06-22,457,5899,11,6,84
2019-06-23,454,5904,12,6,83
2019-06-24,447,5904,13,5,77
2019-06-25,446,5877,12,5,75
2019-06-26,445,5823,12,5,76
2019-06-27,446,5832,12,6,78
2019-06-28,445,5822,12,5,78
2019-06-29,447,5816,11,5,80
2019-06-30,448,5828,10,5,84
2019-07-01,445,5913,10,5,87
2019-07-02,447,5893,10,5,79
2019-07-03,444,5911,9,5,81
2019-07-04,447,5908,10,5,81
2019-07-05,446,5904,11,5,81
2019-07-06,441,5998,9,5,80
2019-07-07,440,6010,9,5,86
2019-07-08,440,5996,9,5,83
2019-07-09,437,5998,9,5,81
2019-07-10,434,5995,10,6,80
2019-07-11,436,6013,10,5,77
2019-07-12,441,6005,10,5,82
2019-07-13,440,6018,10,6,81
2019-07-14,447,6016,10,6,81
2019-07-15,444,5995,10,5,72
2019-07-16,439,5963,12,6,72
2019-07-17,442,5894,12,6,71
2019-07-18,441,5880,12,6,73
2019-07-19,443,5874,11,6,78
2019-07-20,442,5876,11,5,76
2019-07-21,444,5919,11,5,81
2019-07-22,442,5893,11,5,79
2019-07-23,440,5904,11,5,80
2019-07-24,441,5926,10,5,80
2019-07-25,435,5936,9,6,76
2019-07-26,433,5908,8,6,75
2019-07-28,432,5921,8,6,76
2019-07-29,436,5907,8,6,74
2019-07-30,439,5897,9,6,76
2019-07-31,439,5901,9,6,80
2019-08-01,444,5975,9,7,79
2019-08-02,448,5970,11,6,80
2019-08-03,446,5972,12,6,83
2019-08-04,445,5968,13,6,82
2019-08-05,445,5979,14,6,81
2019-08-06,448,5978,14,6,85
2019-08-07,447,5977,15,6,85
2019-08-08,446,5968,15,6,85
2019-08-09,451,5957,14,6,82
2019-08-10,455,5957,15,6,82
2019-08-11,456,5963,15,6,82
2019-08-12,456,5972,17,6,80
2019-08-13,457,6005,16,7,80
2019-08-14,451,5987,16,6,80
2019-08-15,445,5993,16,6,75
2019-08-16,447,5972,17,7,82
2019-08-18,444,5968,16,7,78
2019-08-19,445,5991,16,6,80
2019-08-20,443,5998,16,6,84
2019-08-21,444,6035,16,6,81
2019-08-22,445,6015,16,6,84
2019-08-23,446,6000,15,6,79
2019-08-24,442,5976,16,6,83
2019-08-26,441,5976,15,6,79
2019-08-27,439,5956,15,7,81
2019-08-28,441,5944,14,7,82
2019-08-29,440,5958,14,7,77
2019-08-30,442,5981,14,7,82
2019-08-31,440,5972,14,6,81
2019-09-02,441,6082,11,6,81
2019-09-03,446,6086,11,6,85
2019-09-04,447,6072,11,7,80
2019-09-05,448,6040,10,7,78
2019-09-06,450,6005,11,6,77
2019-09-07,449,5889,10,7,83
2019-09-08,449,5837,11,6,80
2019-09-09,449,5807,12,6,75
2019-09-10,452,5897,13,6,75
2019-09-11,451,5946,13,6,79
2019-09-12,454,5975,13,6,76
2019-09-13,449,5977,13,6,76
2019-09-14,450,5971,12,6,77
2019-09-15,451,5987,13,7,76
2019-09-16,452,5979,13,7,77
2019-09-17,451,5921,13,7,80
2019-09-18,449,5904,12,7,78
2019-09-19,448,5891,12,7,80
2019-09-20,448,5890,10,7,83
2019-09-21,447,5903,8,7,81
2019-09-22,446,5896,8,7,78
2019-09-23,442,5867,11,7,79
2019-09-24,423,5862,11,6,76
2019-09-25,421,5859,11,5,75
2019-09-26,444,5872,13,6,76
2019-09-27,440,5862,13,7,72
2019-09-28,445,5859,11,7,75
2019-09-29,447,5875,12,7,77
2019-09-30,449,5911,11,7,73
2019-10-01,453,5954,11,7,74
2019-10-02,450,5944,12,7,77
2019-10-03,450,5916,10,7,74
2019-10-04,451,5871,8,7,72
2019-10-05,446,5865,7,7,75
2019-10-06,441,5870,7,6,71
2019-10-07,455,5861,7,7,70
2019-10-08,448,5569,6,7,62
2019-10-09,436,5137,6,7,41
2019-10-10,431,5151,6,6,39
2019-10-11,434,5156,6,7,39
2019-10-12,436,5210,6,7,38
2019-10-13,440,5230,6,7,38
2019-10-14,442,5258,6,7,38
2019-10-15,438,5261,6,6,39
2019-10-16,442,5255,7,7,42
2019-10-17,442,5274,7,7,42
2019-10-18,440,5309,7,7,44
2019-10-19,438,5394,6,7,45
2019-10-20,443,5408,6,7,41
2019-10-21,441,5417,6,6,43
2019-10-22,441,5443,6,8,45
2019-10-23,443,5471,6,9,43
2019-10-24,441,5484,6,9,41
2019-10-25,444,5488,6,9,43
2019-10-26,440,5497,7,8,43
2019-10-27,440,5510,7,9,42
2019-10-28,438,5483,7,8,43
2019-10-29,439,5491,7,8,43
2019-10-30,433,5503,6,8,40
2019-10-31,415,5516,6,7,43
2019-11-01,439,5584,7,7,44
2019-11-02,437,5609,7,6,41
2019-11-03,440,5612,8,6,42
2019-11-04,443,5560,8,5,43
2019-11-07,443,5474,7,5,47
2019-11-08,442,5459,7,6,46
2019-11-09,434,5500,7,6,46
2019-11-10,434,5513,7,6,46
2019-11-11,436,5521,6,6,47
2019-11-12,432,5521,7,6,43
2019-11-13,439,5526,7,6,40
2019-11-14,435,5522,7,6,39
2019-11-15,438,5502,7,6,38
2019-11-16,440,5497,7,6,44
2019-11-17,431,5503,8,6,44
2019-11-18,427,5529,8,6,43
2019-11-19,431,5535,8,5,44
2019-11-20,427,5558,8,5,45
2019-11-21,424,5584,8,5,43
2019-11-22,430,5577,8,6,42
2019-11-23,441,5605,8,6,46
2019-11-24,436,5628,8,6,50
2019-11-25,436,5633,8,6,46
2019-11-26,434,5643,8,5,50
2019-11-27,442,5644,8,6,49
2019-11-28,443,5641,8,6,48
2019-11-29,446,5620,8,6,45
2019-11-30,450,5616,7,6,44
2019-12-01,454,5699,7,6,46
2019-12-02,451,5711,8,6,42
2019-12-03,444,5706,8,6,44
2019-12-04,448,5708,8,6,46
2019-12-05,454,5708,9,6,42
2019-12-06,459,5715,8,6,45
2019-12-07,463,5719,8,6,44
2019-12-08,463,5739,7,6,44
2019-12-09,461,5734,8,6,45
2019-12-10,460,5721,7,6,44
2019-12-11,461,5724,9,6,44
2019-12-12,463,5739,10,5,43
2019-12-13,457,5759,10,6,40
2019-12-14,458,5797,8,6,46
2019-12-15,460,5804,8,6,43
2019-12-16,459,5792,8,6,41
2019-12-17,458,5795,7,6,40
2019-12-18,456,5772,8,6,45
2019-12-19,456,5687,8,6,45
2019-12-20,456,5680,7,6,45
2019-12-21,455,5697,7,6,45
2019-12-22,453,5713,8,6,49
2019-12-23,455,5726,7,5,48
2019-12-24,462,5720,6,6,48
2019-12-25,462,5714,5,6,47
2019-12-26,462,5735,5,6,43
2019-12-27,463,5774,5,6,44
2019-12-28,463,5793,7,5,45
2019-12-29,460,5787,7,6,44
2019-12-30,459,5774,7,6,43
2019-12-31,459,5749,7,6,44
2020-01-01,460,5832,6,6,49
2020-01-02,462,5866,6,6,51
2020-01-03,460,5876,6,6,48
2020-01-04,461,5911,5,6,49
2020-01-05,465,5919,5,6,49
2020-01-06,464,5910,6,5,45
2020-01-07,458,5799,7,6,36
2020-01-08,451,5843,6,6,36
2020-01-09,455,5844,6,6,34
2020-01-10,453,5833,6,6,33
2020-01-11,455,5798,5,7,34
