#
# The Tor Project
#
# URL: https://metrics.torproject.org/hidserv-rend-relayed-cells.csv?start=2010-01-01&end=2019-11-27
#
date,relayed,frac
2015-05-06,0.417018327893333,0.03058
2015-05-07,0.428531223419259,0.032192
2015-05-08,0.413017256106667,0.028007
2015-05-09,0.391736689303704,0.029314
2015-05-10,0.405688845037037,0.030769
2015-05-11,0.449168467531852,0.036422
2015-05-12,0.446721939674074,0.034823
2015-05-13,0.446585965653333,0.029146
2015-05-14,0.432259567502222,0.039482
2015-05-15,0.432278419247407,0.033078
2015-05-16,0.437152031905185,0.045703
2015-05-17,0.466802896545185,0.042282
2015-05-18,0.505766620681481,0.039239
2015-05-19,0.409695066453333,0.043129
2015-05-20,0.527194299448889,0.03935
2015-05-21,0.455703225742222,0.048444
2015-05-22,0.439194792817778,0.042134
2015-05-23,0.448011033173333,0.040664
2015-05-24,0.442066127028148,0.043921
2015-05-25,0.469082457837037,0.033561
2015-05-26,0.515502934897778,0.030376
2015-05-27,0.433154796420741,0.028929
2015-05-28,0.448556331757037,0.033698
2015-05-29,0.453773278103704,0.022417
2015-05-30,0.470262669084444,0.033779
2015-05-31,0.529900794500741,0.036789
2015-06-01,0.458284568983704,0.028514
2015-06-02,0.420757323662222,0.030691
2015-06-03,0.442654275555556,0.0292
2015-06-04,0.415387374885926,0.028611
2015-06-05,0.451570270577778,0.035892
2015-06-06,0.438702142625185,0.03151
2015-06-07,0.470683236598519,0.035063
2015-06-08,0.526886234026667,0.033135
2015-06-09,0.512315520237037,0.03341
2015-06-10,0.455748719691852,0.032955
2015-06-11,0.543115909167407,0.0384
2015-06-12,0.498652791940741,0.033017
2015-06-13,0.520950138548148,0.040133
2015-06-14,0.52536914706963,0.03594
2015-06-15,0.513976203804444,0.034323
2015-06-16,0.509224029487407,0.037322
2015-06-17,0.548817269522963,0.034158
2015-06-18,0.53386510592,0.034624
2015-06-19,0.496377177552593,0.037772
2015-06-20,0.639464809481481,0.022424
2015-06-21,0.520109051733333,0.033058
2015-06-22,0.555839831845926,0.033977
2015-06-23,0.572923172171852,0.035357
2015-06-24,0.56126147456,0.021198
2015-06-25,0.469329366234074,0.033347
2015-06-26,0.459640176545185,0.030923
2015-06-27,0.494330863881482,0.029396
2015-06-28,0.528318553125926,0.027723
2015-06-29,0.503191648616296,0.027396
2015-06-30,0.434868522524444,0.038229
2015-07-01,0.461066640118519,0.03734
2015-07-02,0.496302624568889,0.028752
2015-07-03,0.46857666944,0.034552
2015-07-04,0.442516727845926,0.039782
2015-07-05,0.558513202157037,0.039015
2015-07-06,0.409934195484444,0.045475
2015-07-07,0.46655306898963,0.029988
2015-07-08,0.507691626619259,0.043558
2015-07-09,0.482015108077037,0.038909
2015-07-10,0.451553382162963,0.040991
2015-07-11,0.487326864497778,0.038323
2015-07-12,0.560728343371852,0.03561
2015-07-13,0.542778098915556,0.038397
2015-07-14,0.499697187413333,0.035894
2015-07-15,0.477411040663704,0.034459
